ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh,model_family,watchlist_reason,event_flags,years_of_data,latest_fiscal_year,anchor_source,latest_filing_date,revenue,revenue_cagr,revenue_volatility,gross_margin,current_operating_margin,reported_operating_income,one_off_items_latest,normalized_operating_margin,normalized_operating_income,normalized_nopat,normalized_fcf,normalized_fcf_per_share,margin_volatility,tax_rate,roic,incremental_roic,net_debt,total_debt,interest_expense_known,interest_coverage,net_debt_to_ebitda,sbc_intensity,dividends_paid,buybacks,net_share_change_cagr,ocf_to_net_income,shares_diluted,analyst_growth,analyst_dispersion,has_estimates,risk_free,wacc,cost_of_debt_after_tax,roic_minus_wacc,filing_age_days,data_confidence,financial_persistence_score,roic_above_wacc_years,cyclicality,model_confidence,risk_flags
BRK-B,Berkshire Hathaway Inc.,NYSE,common_stock,False,1996-05-09,Financial Services,Insurance - Diversified,US,2156853740.0,0.617,1055240683488.5,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,489.25,2026-06-12,1055240692295.0,2302906572.1629033,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPM,JPMorgan Chase & Co.,NYSE,common_stock,False,1980-03-17,Financial Services,Banks - Diversified,US,2679511418.0001245,1.0,859372901980.9601,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,320.72,2026-06-12,859372901981.0,2763407891.3587093,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V,Visa Inc.,NYSE,common_stock,False,2008-03-19,Financial Services,Financial - Credit Services,US,1916826361.0006514,0.765,617965650522.7899,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,322.39,2026-06-12,617965650523.0,2493188818.3970966,True,consumer_finance,consumer_finance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Mastercard Incorporated,NYSE,common_stock,False,2006-05-25,Financial Services,Financial - Credit Services,US,883583856.0002449,0.738,429872381782.56,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,489.98,2026-06-12,432938417763.0,1841234745.4003227,True,consumer_finance,consumer_finance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC,Bank of America Corporation,NYSE,common_stock,False,1973-02-21,Financial Services,Banks - Diversified,US,7096590650.999642,1.196,397551008269.02,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,56.02,2026-06-12,397551008269.0,1956034729.3112903,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Morgan Stanley,NYSE,common_stock,False,1993-02-23,Financial Services,Financial - Capital Markets,US,1577284817.0014951,1.221,337602042230.68,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,214.04,2026-06-12,337602042231.0,1152460597.4219356,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS,"The Goldman Sachs Group, Inc.",NYSE,common_stock,False,1999-05-04,Financial Services,Financial - Capital Markets,US,295007421.00023526,1.291,305521485484.44,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,1062.75,2026-06-12,313519136668.0,1997097161.2187097,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WFC,Wells Fargo & Company,NYSE,common_stock,False,1972-06-01,Financial Services,Banks - Diversified,US,3060190000.0,0.93,256229708700.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,83.73,2026-06-12,256229708700.0,1388430106.8700001,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Citigroup Inc.,NYSE,common_stock,False,1977-01-03,Financial Services,Banks - Diversified,US,1705576977.0006435,1.115,238490828693.91003,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,139.83,2026-06-12,238490828694.0,1546439703.2480645,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXP,American Express Company,NYSE,common_stock,False,1972-06-01,Financial Services,Financial - Credit Services,US,682326443.0002458,1.058,218562806221.76,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,325.44,2026-06-12,222056317610.0,956012511.7790323,True,consumer_finance,consumer_finance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLK,"BlackRock, Inc.",NYSE,common_stock,False,1999-10-01,Financial Services,Asset Management,US,155233989.0,1.434,160201476648.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,1032.0,2026-06-12,160201476648.0,719864037.2935483,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHW,The Charles Schwab Corporation,NYSE,common_stock,False,1987-09-22,Financial Services,Financial - Capital Markets,US,1739140000.0,0.773,155253027800.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,91.1,2026-06-12,158435654000.0,991781257.665484,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WELL,Welltower Inc.,NYSE,common_stock,False,1980-03-19,Real Estate,REIT - Healthcare Facilities,US,705914000.0,0.78,151227956220.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,214.23,2026-06-12,151227956220.0,716905524.5729032,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BX,Blackstone Inc.,NYSE,common_stock,False,2007-06-22,Financial Services,Asset Management,US,1201264407.9973938,1.585,147166902624.08002,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,122.79,2026-06-12,147503256658.0,878459973.5374193,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLD,"Prologis, Inc.",NYSE,common_stock,False,1997-11-21,Real Estate,REIT - Industrial,US,932338000.0,1.334,135906910260.00002,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,148.74,2026-06-12,138675954120.0,497196816.893871,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPGI,S&P Global Inc.,NYSE,common_stock,False,2016-04-28,Financial Services,Financial - Data & Stock Exchanges,US,296000000.0,1.076,123997360000.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,418.91,2026-06-12,123997360000.0,869724689.61,True,financial_other,financial_sector_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGR,The Progressive Corporation,NYSE,common_stock,False,1980-03-17,Financial Services,Insurance - Property & Casualty,US,584337000.0,0.27,118684688070.00002,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,203.11,2026-06-12,118684688070.00002,601104001.9141935,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COF,Capital One Financial Corporation,NYSE,common_stock,False,1994-11-16,Financial Services,Financial - Credit Services,US,622292783.0022194,1.037,111657994053.69,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,184.73,2026-06-12,114956145803.99998,877493926.1564516,True,consumer_finance,consumer_finance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNC,"The PNC Financial Services Group, Inc.",NYSE,common_stock,False,1975-11-17,Financial Services,Banks - Regional,US,401565000.0,0.918,95435937900.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,237.66,2026-06-12,95435937900.0,475330373.95903224,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USB,U.S. Bancorp,NYSE,common_stock,False,1973-05-03,Financial Services,Banks - Diversified,US,1552300000.0,0.999,88186163000.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,58.94,2026-06-12,91492562000.0,521813780.1780645,True,bank,bank_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMT,American Tower Corporation,NYSE,common_stock,False,1998-02-27,Real Estate,REIT - Specialty,US,465893068.9977562,0.891,87205864655.42,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,187.18,2026-06-12,87205864655.0,595208794.2406452,True,reit,reit_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KKR,KKR & Co. Inc.,NYSE,common_stock,False,2010-07-15,Financial Services,Asset Management,US,897872941.0016626,1.791,85567291277.3,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,96.24,2026-06-12,86411291842.0,513676668.82354844,True,asset_management,asset_management_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRSH,"Marsh & McLennan Companies, Inc.",NYSE,common_stock,False,1987-12-30,Financial Services,Insurance - Brokers,US,481795000.0,0.611,80532034250.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,168.68,2026-06-12,81269180600.0,537820256.067742,True,insurance,insurance_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICE,"Intercontinental Exchange, Inc.",NYSE,common_stock,False,2005-11-16,Financial Services,Financial - Data & Stock Exchanges,US,565512494.9975095,0.922,78594926555.09999,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,140.53,2026-06-12,79471470922.00002,571912824.1325806,True,financial_other,financial_sector_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCO,Moody's Corporation,NYSE,common_stock,False,1994-10-31,Financial Services,Financial - Data & Stock Exchanges,US,174700000.0,1.339,77185954000.0,2026-06-12,fmp:company-screener,2026-06-13T10:24:26.283810+00:00,447.85,2026-06-12,78239395000.0,483959528.9864516,True,financial_other,financial_sector_model_not_supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
