rank,ticker,price,expected_irr,median_irr,p10_irr,p90_irr,above_hurdle_weight,hurdle_rate,permanent_loss_weight,expected_shortfall,hurdle_cvar,intrinsic_value_low,intrinsic_value_base,intrinsic_value_high,upside_to_base,model_confidence,data_confidence,model_uncertainty,business_quality,valuation_excess,evidence_confidence,name,sector,industry,model_family,market_cap,financial_persistence_score,roic,incremental_roic,wacc,roic_minus_wacc,normalized_operating_margin,current_operating_margin,revenue_cagr,net_debt_to_ebitda,sbc_intensity,net_share_change_cagr,risk_flags,years_of_data,latest_fiscal_year,anchor_source,latest_filing_date,price_as_of,is_price_fresh,downside_penalty,ambiguity_penalty,permanent_loss_penalty,hurdle_penalty,robust_return
19,GRNT,4.92,0.26349873906001453,0.28080801200121647,-0.95,1.442378932237625,0.75,0.12,0.25,0.95,1.0699999999999998,-3.0289601146710394,12.745050207422782,343.84597738197067,1.5904573592322726,0.3594,0.95,1.2169074661188124,0.2328,0.16080801200121647,0.34142999999999996,"Granite Ridge Resources, Inc",Energy,Oil & Gas Exploration & Production,general_dcf,648928315.0,0.2328,0.0696871533338492,-0.10340586021123199,0.065,0.004687153333849198,0.22987598618516047,0.16422869859691555,0.7954958912393406,1.568149151475236,0.006046891034918296,-0.006185132824603756,cyclical_revenue;incremental_roic_below_wacc,7,2025,ttm,2026-05-07,2026-06-12,True,0.95,0.6084537330594062,0.125,1.0699999999999998,-1.0150953204624245
20,SM,31.15,0.2503776428871788,0.4612704291474074,-0.95,1.0289697132539004,0.75,0.12,0.25,0.95,1.0699999999999998,-44.888290382781484,149.76081363156317,805.2280766499011,3.807730774689026,0.3721,1.0,1.0083218566269503,0.3375,0.3412704291474074,0.3721,SM Energy Company,Energy,Oil & Gas Exploration & Production,general_dcf,7468181350.0,0.3375,0.014883392390684572,0.16707686585042608,0.07390950366923477,-0.059026111278550196,0.3316548262204774,0.06530112986307726,0.09791347118480109,3.8916089192806584,0.009194673430564362,-0.025023790781859234,elevated_leverage;thin_interest_coverage;cyclical_revenue,8,2025,ttm,2026-05-07,2026-06-12,True,0.95,0.5041609283134751,0.125,1.0699999999999998,-0.9430132733142496
21,FOXA,65.85,0.24848164524883032,0.27097549990285186,0.07912251646630468,0.37285306472331287,0.75,0.12,0.0,0.0,0.040877483533695316,68.26089926174494,134.0434748746474,188.71021329136866,1.0355880770637418,0.8453,1.0,0.1515062741285041,0.9001,0.15097549990285186,0.8453,Fox Corporation,Communication Services,Entertainment,general_dcf,28875543912.0,0.9001,0.16895503711597137,0.8856477997370426,0.06580243737906509,0.10315259973690628,0.2005283937430593,0.19727177334732424,0.06996718821585945,0.8351403947734223,0.006437768240343348,-0.0882628934835914,,8,2025,ttm,2026-05-11,2026-06-12,True,0.0,0.07575313706425205,0.0,0.040877483533695316,0.08674210653418536
22,PPC,30.07,0.24695416173781268,0.28188766802195453,-0.03536483591888096,0.4594061468262226,0.75,0.12,0.0,0.03536483591888096,0.15536483591888095,19.052613023214327,67.91133378061451,125.88007983706184,1.2584414293519957,0.6866,1.0,0.2567874913725518,0.7523,0.16188766802195453,0.6866,Pilgrim's Pride Corporation,Consumer Defensive,Packaged Foods,general_dcf,7154312766.0,0.7523,0.15584240174056313,1.5317781196009304,0.065,0.09084240174056313,0.05292293954535278,0.07402191512473867,0.07794809225370214,1.4893797662019692,0.0008319027808642337,-0.002550935738560467,,8,2025,ttm,2026-04-30,2026-06-12,True,0.03536483591888096,0.1283937456862759,0.0,0.15536483591888095,-0.04421276305500697
23,MMS,62.28,0.24341699860524388,0.2642431997228414,0.05790853129001339,0.38727306368527936,0.75,0.12,0.0,0.0,0.06209146870998661,58.96508618831994,125.997353012971,196.60759890818974,1.0230788858858544,0.7468,1.0,0.17227826619763298,0.8109,0.1442431997228414,0.7468,"Maximus, Inc.",Industrials,Specialty Business Services,general_dcf,3272216112.0,0.8109,0.14022722105222055,,0.065,0.07522722105222054,0.09561750591414328,0.1081289203035525,0.12427129301835538,1.9463240370978476,0.006661833324318717,-0.03942371771480835,,8,2025,ttm,2026-05-07,2026-06-12,True,0.0,0.08613913309881649,0.0,0.06209146870998661,0.04562935284303134
24,LPG,45.19,0.2412307546444935,0.2832110309274867,-0.18545532255666325,0.583956279279664,0.75,0.12,0.25,0.18545532255666325,0.30545532255666324,14.737747975070683,111.44927876564604,320.9445062402957,1.4662376358850642,0.3828,1.0,0.4032218009181636,0.5261,0.16321103092748668,0.3828,Dorian LPG Ltd.,Energy,Oil & Gas Midstream,general_dcf,1933349354.0,0.5261,0.12355588895315175,0.6226120230355067,0.0748767556857844,0.04867913326736735,0.3991825325844059,0.4366876267600446,0.1725270375434973,1.3607551666483158,0.022904665640184577,0.019409713251850924,cyclical_revenue,8,2026,ttm,2026-05-27,2026-06-12,True,0.18545532255666325,0.2016109004590818,0.125,0.30545532255666324,-0.24297813991762135
25,EOG,136.65,0.2393802348306054,0.2577730541990605,-0.027084913087310238,0.46905974401161077,0.75,0.12,0.0,0.027084913087310238,0.14708491308731023,95.0213810008891,286.70204335213424,626.3361863935536,1.0980756922951644,0.4489,1.0,0.2646053285494605,0.832,0.1377730541990605,0.4489,"EOG Resources, Inc.",Energy,Oil & Gas Exploration & Production,general_dcf,72783752850.0,0.832,0.1921508373909426,0.11979666979573474,0.06745126313747782,0.12469957425346478,0.3240782636756039,0.3692076821530469,0.03975957813758413,0.36241358830596976,0.00851227649927282,-0.03044624297727938,cyclical_revenue,8,2025,ttm,2026-05-05,2026-06-12,True,0.027084913087310238,0.13230266427473025,0.0,0.14708491308731023,-0.08523858905735196
26,MTDR,54.05,0.23463061341026334,0.29266091103199865,-0.2641763196210376,0.6173769511980937,0.75,0.12,0.25,0.2641763196210376,0.3841763196210376,11.487304203458152,150.01060324603793,488.183813079744,1.7754043153753551,0.3747,1.0,0.45953563540956566,0.554,0.17266091103199865,0.3747,Matador Resources Company,Energy,Oil & Gas Exploration & Production,general_dcf,6711833169.0,0.554,0.10694202724742947,0.057277740483525526,0.07038512846060568,0.03655689878682379,0.4081036936537244,0.3179214029563207,0.22180700553985377,1.4304950536996632,0.004848416447776333,0.009207593338747877,cyclical_revenue;incremental_roic_below_wacc,8,2025,ttm,2026-05-08,2026-06-12,True,0.2641763196210376,0.22976781770478283,0.125,0.3841763196210376,-0.3194802762573477
27,DOX,56.4,0.23213391598837918,0.2532628637622111,0.06305337870726364,0.3589565577218309,0.75,0.12,0.0,0.0,0.05694662129273635,55.29862803026333,108.6464614844949,155.77561847245198,0.9263557000796969,0.831,1.0,0.15302158950728362,0.8648,0.13326286376221108,0.831,Amdocs Limited,Technology,Software - Infrastructure,general_dcf,6067004400.0,0.8648,0.16102778349752725,0.4491340088515064,0.06691446967182177,0.09411331382570548,0.13950773873245093,0.17465208229269716,0.01894595928138454,0.8417661206153287,0.020887158792956387,-0.04109200642401212,,8,2025,ttm,2026-05-26,2026-06-12,True,0.0,0.07651079475364181,0.0,0.05694662129273635,0.05379481849366105
28,CHTR,145.82,0.22636647234030544,0.5434720660210588,-0.95,0.7685217573191041,0.75,0.12,0.25,0.95,1.0699999999999998,1.712222151088198,654.5114457908409,1282.6972084186773,3.4884888615473937,0.7943,1.0,0.8654318786595521,0.5633,0.4234720660210588,0.7943,"Charter Communications, Inc.",Communication Services,Telecommunications Services,general_dcf,20586629768.0,0.5633,0.09437986723934577,0.26677679637638607,0.0701270973118264,0.024252769927519374,0.21833216645863085,0.2410864631378578,0.033016031528634304,4.35782412266691,0.012286851425858985,-0.08286808037581694,elevated_leverage;thin_interest_coverage,8,2025,ttm,2026-04-24,2026-06-12,True,0.95,0.43271593932977603,0.125,1.0699999999999998,-0.7336361379594729
