ticker,name,sector,industry,market_cap,price_as_of,is_price_fresh,shares_outstanding,beta,price,model_family,expected_irr,median_irr,p10_irr,p90_irr,above_hurdle_weight,hurdle_rate,permanent_loss_weight,worst_case_shortfall,worst_case_hurdle_gap,expected_shortfall,hurdle_cvar,intrinsic_value_low,intrinsic_value_base,intrinsic_value_high,intrinsic_value_bear,intrinsic_value_bull,scenario_order_inversion,scenario_order_note,upside_to_base,model_confidence,data_confidence,model_uncertainty,business_quality,valuation_excess,evidence_confidence,valuation_status,invalid_reason,invalid_fields,assumption_flags,valuation_alerts,requires_manual_review,roic_status,catastrophic_tail_floor_applied,catastrophic_tail_scenarios,specialist_model_note
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance - Brokers,55522596780.0,2026-06-17,True,256942000.0,0.533,216.09,insurance,-0.12465130536739555,-0.10365111029533502,-0.2460915193488571,-0.04521148153005505,0.0,0.12,0.75,0.2460915193488571,0.3660915193488571,0.2460915193488571,0.3660915193488571,52.62932656473284,125.03168781974306,171.46307534364934,52.62932656473284,171.46307534364934,False,,-0.42139068064351404,0.6,0.8,0.11844001890940101,0.42092790621692655,-0.22365111029533502,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
MET,"MetLife, Inc.",Financial Services,Insurance - Life,55239047477.00001,2026-06-17,True,643436778.9982529,0.783,85.85,insurance,-0.06958570000312575,-0.045621627238981666,-0.21158334138286228,0.02448379584832261,0.0,0.12,0.25,0.21158334138286228,0.3315833413828623,0.21158334138286228,0.3315833413828623,26.15286424750955,67.9740654688797,96.88705774590571,26.15286424750955,96.88705774590571,False,,-0.20822288329784855,0.6,0.8,0.13603356861559243,0.38474768379836005,-0.16562162723898166,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
PSA,Public Storage,Real Estate,REIT - Industrial,54882688872.0,2026-06-17,True,175579655.9984644,0.963,312.58,reit,-0.15090450395065974,-0.16012552052291007,-0.16012552052291007,-0.12324145423390875,0.0,0.12,1.0,0.16012552052291007,0.28012552052291007,0.16012552052291007,0.28012552052291007,130.6270477161625,130.6270477161625,161.9426437872131,130.6270477161625,161.9426437872131,False,,-0.5821004295983028,0.6,0.8,0.03644203314450065,1.0,-0.28012552052291007,0.48,valid,,,specialist_model_v1,,False,specialist,False,,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail
VTR,"Ventas, Inc.",Real Estate,REIT - Healthcare Facilities,39938842744.769966,2026-06-17,True,486169723.00389487,0.734,82.15,reit,0.010157428526721163,0.043063165528602676,-0.08855978247892338,0.043063165528602676,0.0,0.12,0.25,0.08855978247892338,0.20855978247892337,0.08855978247892338,0.20855978247892337,51.671195270365196,101.4286425677539,101.4286425677539,51.671195270365196,101.4286425677539,False,,0.2346761115977345,0.6,0.8,0.08381147400376301,0.5094339622641509,-0.07693683447139732,0.48,valid,,,specialist_model_v1,,False,specialist,False,,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,39643519144.0,2026-06-17,True,530206220.9977264,0.541,74.77,insurance,-0.17790340539949367,0.026001566820096134,-0.95,0.186383244761833,0.25,0.12,0.25,0.95,1.0699999999999998,0.95,1.0699999999999998,0.0,85.00950759758928,175.73262783905494,0.0,175.73262783905494,False,,0.1369467379642808,0.6,0.8,0.5861916223809165,0.0,-0.09399843317990386,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
CCI,Crown Castle Inc.,Real Estate,REIT - Specialty,37434486582.0,2026-06-17,True,436451983.00104934,0.948,85.77,reit,-0.08918458833136533,-0.09914269343020177,-0.09914269343020177,-0.05931027303485603,0.0,0.12,0.75,0.09914269343020177,0.21914269343020176,0.09914269343020177,0.21914269343020176,50.88800634130139,50.88800634130139,63.17822442488057,50.88800634130139,63.17822442488057,False,,-0.4066922427270445,0.6,0.8,0.03791621019767286,1.0,-0.21914269343020176,0.48,valid,,,specialist_model_v1,,False,specialist,False,,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail
IRM,Iron Mountain Incorporated,Real Estate,REIT - Specialty,37321495985.0,2026-06-17,True,297524681.0028699,1.218,125.44,reit,-0.11248795107071125,-0.09588839649355252,-0.16228661480218742,-0.09588839649355252,0.0,0.12,1.0,0.16228661480218742,0.2822866148021874,0.16228661480218742,0.2822866148021874,51.75035331172434,75.7785447343414,75.7785447343414,51.75035331172434,75.7785447343414,False,,-0.3958980808805692,0.6,0.8,0.05119910915431745,0.682915639158112,-0.21588839649355251,0.48,valid,,,specialist_model_v1,,False,specialist,False,,P/AFFO Gordon proxy; no property-level NOI or maintenance-capex detail
PRU,"Prudential Financial, Inc.",Financial Services,Insurance - Life,37167259700.0,2026-06-17,True,347325106.99934584,0.855,107.01,insurance,-0.14133221055573608,0.0014323449961315404,-0.6940314376871144,0.12583790547190699,0.25,0.12,0.25,0.6940314376871144,0.8140314376871144,0.6940314376871144,0.8140314376871144,0.286951429941593,107.77857476724871,193.5546892834825,0.286951429941593,193.5546892834825,False,,0.007182270509753286,0.6,0.8,0.4279346715795107,0.0026624162600152566,-0.11856765500386846,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
HIG,"The Hartford Financial Services Group, Inc.",Financial Services,Insurance - Property & Casualty,35538319505.0,2026-06-17,True,274130820.00154275,0.475,129.64,insurance,0.07748118325609085,0.09507080983179783,-0.030557417629108463,0.1503405309898762,0.25,0.12,0.0,0.030557417629108463,0.15055741762910846,0.030557417629108463,0.15055741762910846,111.0067741920907,204.1503060132044,261.1386364676049,111.0067741920907,261.1386364676049,False,,0.5747478094199663,0.6,0.8,0.10844897430949232,0.5437502218826495,-0.024929190168202164,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
MTB,M&T Bank Corporation,Financial Services,Banks - Regional,33074616801.0,2026-06-17,True,146445060.0,0.587,225.85,bank,0.022085238613634844,0.04028930355659943,-0.08262942738994206,0.09039177473128257,0.0,0.12,0.25,0.08262942738994206,0.20262942738994205,0.08262942738994206,0.20262942738994205,146.73851461995145,275.1634588581457,348.1231693993525,146.73851461995145,348.1231693993525,False,,0.2183460653449001,0.6,0.8,0.1045106010606123,0.533277620614586,-0.07971069644340056,0.48,valid,,,specialist_model_v1,,False,specialist,False,,Justified P/B residual-income proxy; no regulatory-capital or reserve-detail model
