scenario,probability,intrinsic_value_per_share,irr_5y,irr_3y,exit_value_per_share,total_return_5y,normalized_roe,terminal_growth,irr_5y_status,scenario_is_finite,ticker,model_family,price,affo_growth
base,0.5,67.9740654688797,-0.05471610113028269,,67.9740654688797,-0.24523578204663887,0.11898725262342419,0.025,valid,True,MET,insurance,90.06,
bull,0.25,96.88705774590571,0.014721272514470307,,96.88705774590571,0.07580566007001677,0.15896503959990094,0.025,valid,True,MET,insurance,90.06,
bear,0.25,130.6270477161625,-0.16900455891491462,,130.6270477161625,-0.6037281649188129,,0.025,valid,True,PSA,reit,329.64,-0.02
base,0.5,130.6270477161625,-0.16900455891491462,,130.6270477161625,-0.6037281649188129,,0.025,valid,True,PSA,reit,329.64,-0.02
bull,0.25,161.9426437872131,-0.13251042594170737,,161.9426437872131,-0.5087287835602079,,0.025,valid,True,PSA,reit,329.64,0.0
bear,0.25,27.124227401902445,-0.13850446418065476,,27.124227401902445,-0.5254683799527213,0.0813122536616662,0.025,valid,True,FITB,bank,57.16,
base,0.5,46.97415494044536,-0.03849100564788699,,46.97415494044536,-0.1781988288935381,0.12252242854162321,0.025,valid,True,FITB,bank,57.16,
bull,0.25,57.97167648162724,0.002824020391371196,,57.97167648162724,0.014200078404955407,0.14535423914033674,0.025,valid,True,FITB,bank,57.16,
bear,0.25,51.671195270365196,-0.11007040671609569,,51.671195270365196,-0.44181489391417095,,0.025,valid,True,VTR,reit,92.57,0.039999999999999994
base,0.5,101.4286425677539,0.01844614800183053,,101.4286425677539,0.09569668972403478,,0.025,valid,True,VTR,reit,92.57,0.06
bull,0.25,101.4286425677539,0.01844614800183053,,101.4286425677539,0.09569668972403478,,0.025,valid,True,VTR,reit,92.57,0.06
bear,0.25,0.0,-0.95,,0.0,-1.0,0.009231909733433102,0.025,valid,True,AIG,insurance,79.39,
base,0.5,85.00950759758928,0.013772111416090471,,85.00950759758928,0.07078356968874266,0.08032898943793963,0.025,valid,True,AIG,insurance,79.39,
bull,0.25,175.73262783905494,0.17224211530055777,,175.73262783905494,1.2135360604491114,0.13937672072675522,0.025,valid,True,AIG,insurance,79.39,
bear,0.25,0.286951429941593,-0.6973195077409495,,0.286951429941593,-0.9974594826919735,0.025193930736620372,0.025,valid,True,PRU,insurance,112.95,
base,0.5,107.77857476724871,-0.009329478635789146,,107.77857476724871,-0.04578508395530134,0.09784012629161883,0.025,valid,True,PRU,insurance,112.95,
bull,0.25,193.5546892834825,0.11373916606393797,,193.5546892834825,0.7136316005620407,0.15581030290287445,0.025,valid,True,PRU,insurance,112.95,
bear,0.25,111.0067741920907,-0.042390287123148074,,111.0067741920907,-0.19472778968378157,0.10023971190215111,0.025,valid,True,HIG,insurance,137.85,
base,0.5,204.1503060132044,0.0817045411995887,,204.1503060132044,0.4809597824679319,0.1633718274939649,0.025,valid,True,HIG,insurance,137.85,
bull,0.25,261.1386364676049,0.13629964850293397,,261.1386364676049,0.894368055622814,0.2019981689616839,0.025,valid,True,HIG,insurance,137.85,
bear,0.25,146.73851461995145,-0.09286303243266647,,146.73851461995145,-0.38572289593121467,0.06377672371921,0.025,valid,True,MTB,bank,238.88,
base,0.5,275.1634588581457,0.028684495008533872,,275.1634588581457,0.15188989810007403,0.09771395277101827,0.025,valid,True,MTB,bank,238.88,
