ticker,name,exchange,security_type,is_adr,listing_date,sector,industry,country,shares_outstanding,beta,market_cap_hint,as_of,source,fetched_at,price,price_as_of,market_cap,avg_dollar_volume,is_price_fresh
LOW,"Lowe's Companies, Inc.",NYSE,common_stock,False,1980-03-17,Consumer Cyclical,Home Improvement,US,560707000.0,0.857,127560842500.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,227.5,2026-07-02,127560842500.0,637104963.0003124,True
LMT,Lockheed Martin Corporation,NYSE,common_stock,False,1977-01-03,Industrials,Aerospace & Defense,US,230563608.000733,0.106,125818560886.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,545.7,2026-07-02,125818560886.0,742694127.929375,True
SYK,Stryker Corporation,NYSE,common_stock,False,1980-03-17,Healthcare,Medical - Devices,US,383360761.99853003,0.785,125182623223.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,326.54,2026-07-02,125182623223.0,837280587.1353124,True
MO,"Altria Group, Inc.",NYSE,common_stock,False,1985-07-01,Consumer Defensive,Tobacco,US,1669891235.002063,0.501,121417791697.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,72.71,2026-07-02,121417791697.0,642455739.1775,True
PH,Parker-Hannifin Corporation,NYSE,common_stock,False,1980-03-17,Industrials,Industrial - Machinery,US,126086388.9997819,1.138,121407323104.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,962.89,2026-07-02,121407323104.0,732195984.6021875,True
BMY,Bristol-Myers Squibb Company,NYSE,common_stock,False,1972-06-01,Healthcare,Drug Manufacturers - General,US,2042070000.0,0.238,118705529100.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,58.13,2026-07-02,118705529100.0,644556840.4721875,True
VRT,Vertiv Holdings Co,NYSE,common_stock,False,2018-08-02,Industrials,Electrical Equipment & Parts,US,384108815.99840283,2.037,115436222472.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,300.53,2026-07-02,115436222472.0,2101131060.448125,True
SO,The Southern Company,NYSE,common_stock,False,1981-12-31,Utilities,Regulated Electric,US,1127300000.0,0.339,110452854000.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,97.98,2026-07-02,110452854000.0,531291510.17875,True
NOW,"ServiceNow, Inc.",NYSE,common_stock,False,2012-06-29,Technology,Software - Application,US,1031308000.0000001,0.927,109648666560.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,106.32,2026-07-02,109648666560.0,2955844163.935625,True
MDT,Medtronic plc,NYSE,common_stock,False,1973-05-02,Healthcare,Medical - Devices,US,1280050000.0,0.597,106487359500.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,83.19,2026-07-02,106487359500.0,831544991.1621875,True
GD,General Dynamics Corporation,NYSE,common_stock,False,1978-01-13,Industrials,Aerospace & Defense,US,270430187.0000535,0.341,101016492052.0,2026-07-02,fmp:company-screener,2026-07-03T07:18:21.809489+00:00,373.54,2026-07-02,101016492052.0,476353717.96,True
