ticker,scenario,probability,revenue_growth_y1,terminal_growth,operating_margin,forward_roic,terminal_roic,share_change_rate,sbc_fade_speed,reinvestment_rate_y1,intrinsic_value_per_share,irr_3y,irr_5y,exit_value_per_share,total_return_5y,irr_5y_status,scenario_is_finite
MDLZ,bull,0.25,0.1272438590999896,0.030000000000000002,0.16800487679210707,0.022000000000000002,0.06909163442094272,-0.0248871189958149,1.5,1.2,44.1623459905635,-0.018865654256660463,0.006753698026295778,73.54146623315364,0.036017047620344744,valid,True
CDNS,bear,0.25,0.12187678541071403,0.02,0.22691506852404233,0.18195615176279062,0.10491054106955602,0.0,0.5,0.5578345515951273,46.23663494499344,-0.421793185689603,-0.25157755076797905,55.54960898749656,-0.7446367844059828,valid,True
CDNS,base,0.5,0.1674380055349376,0.025,0.27587571713297987,0.2426082023503875,0.22236664614210527,-0.006261023738108414,1.0,0.5727358064640807,72.79769986609708,-0.3298185409716098,-0.1772408085744246,94.63623895177209,-0.6118617567618538,valid,True
CDNS,bull,0.25,0.20388698163431646,0.030000000000000002,0.31461517042214054,0.2668690225854263,0.2426082023503875,-0.006261023738108414,1.5,0.6336800864675863,95.40418132315969,-0.26609667984303087,-0.1263036547723459,128.1411936867866,-0.4813954132177286,valid,True
ROST,bear,0.25,-0.039471425422336726,0.02,0.09504592956039447,0.15374375183113292,0.09003590262391223,0.0,0.5,0.0,57.882235875113565,-0.3334058646170889,-0.20418064920813772,56.60719543229813,-0.6382200374485083,valid,True
ROST,base,0.5,0.06364292982379083,0.025,0.12068597176322433,0.20499166910817723,0.19628951758531837,-0.027076620328713552,1.0,0.2727639815914949,104.29764742281802,-0.18851484133629132,-0.09043744685768612,131.44164863143013,-0.37126368960221867,valid,True
ROST,bull,0.25,0.14613441402069288,0.030000000000000002,0.14314533518023442,0.22549083601899497,0.20499166910817723,-0.027076620328713552,1.5,0.5450666350192642,155.37939650248762,-0.06981386849656696,0.00015477011329497213,209.95460705776694,0.0007605391608738188,valid,True
LITE,bear,0.25,-0.07843111706274264,0.02,-0.0338085864609403,0.07064448815494792,0.1249706335470615,0.025717065172526594,0.5,0.0,16.823421999204218,-0.7804404722250183,-0.5773709609020443,11.440270541798958,-0.9800045551067904,valid,True
LITE,base,0.5,0.25,0.025,0.05389507402472646,0.0941926508732639,0.1249706335470615,0.025717065172526594,1.0,1.2,51.608418673130345,-0.6219353489839703,-0.3934545462296227,69.20373665285504,-0.9176938877666374,valid,True
LITE,bull,0.25,0.5127448936501942,0.030000000000000002,0.13407067057061944,0.10361191596059029,0.1249706335470615,0.025717065172526594,1.5,1.2,131.47517976945258,-0.4678261461238434,-0.2582297268869297,196.38840974196228,-0.7792141060996938,valid,True
