scenario,probability,intrinsic_value_per_share,irr_5y,irr_3y,exit_value_per_share,total_return_5y,normalized_roe,terminal_growth,irr_5y_status,scenario_is_finite,ticker,model_family,price,affo_growth
bear,0.25,153.15770736326405,-0.16405981032439032,,153.15770736326405,-0.5917971552151811,0.07756251085655722,0.025,valid,True,TRV,insurance,375.2,
base,0.5,311.2489788897536,-0.036683451123169175,,311.2489788897536,-0.1704451522128103,0.1318181818181818,0.025,valid,True,TRV,insurance,375.2,
bull,0.25,411.7260777281397,0.018753488889000858,,411.7260777281397,0.09735095343320821,0.1663011255070791,0.025,valid,True,TRV,insurance,375.2,
bear,0.25,108.26392379126891,-0.10505236163231757,,108.26392379126891,-0.425899226899624,,0.025,valid,True,DLR,reit,188.58,0.039999999999999994
base,0.5,163.6531311787195,-0.027956417124234356,,163.6531311787195,-0.13218193244925502,,0.025,valid,True,DLR,reit,188.58,0.06
bull,0.25,163.6531311787195,-0.027956417124234356,,163.6531311787195,-0.13218193244925502,,0.025,valid,True,DLR,reit,188.58,0.06
bear,0.25,103.08610341424871,-0.12831150941460623,,103.08610341424871,-0.4967236078003774,,0.025,valid,True,SPG,reit,204.83,0.02271490465317973
base,0.5,134.1016601009975,-0.08122722477824229,,134.1016601009975,-0.34530264072158623,,0.025,valid,True,SPG,reit,204.83,0.04271490465317973
bull,0.25,179.01279557250376,-0.02658484832070196,,179.01279557250376,-0.12604210529461624,,0.025,valid,True,SPG,reit,204.83,0.06
bear,0.25,0.0,-0.95,,0.0,-1.0,0.0,0.025,valid,True,ALL,insurance,253.71,
base,0.5,91.1624487898401,-0.18511620862650235,,91.1624487898401,-0.6406824768836857,0.0641010365781008,0.025,valid,True,ALL,insurance,253.71,
bull,0.25,288.79763170432216,0.026245364466005228,,288.79763170432216,0.1382981817993858,0.14886993669917836,0.025,valid,True,ALL,insurance,253.71,
bear,0.25,7.560828669280005,-0.31572957117146794,,7.560828669280005,-0.8499835581492062,0.03509051274573242,0.025,valid,True,TFC,bank,50.4,
base,0.5,42.26763532780679,-0.03458179728396926,,42.26763532780679,-0.16135644190859544,0.08140944024298578,0.025,valid,True,TFC,bank,50.4,
